dt_indicador,qt_valor,vl_ipca_mensal,vl_ipca_acumulado,vl_ipca_acumulado_12_meses,qt_valor_corrigido
2023-01-01,285.97272727272724,0.53,3057.8600000000038,5.774320292414625,284.45707181818125
2023-02-01,289.7194444444445,0.84,3058.700000000004,5.596301933344128,285.75028805555456
2023-03-01,281.79782608695655,0.71,3059.410000000004,4.65069442734789,275.9364313043468
2023-04-01,285.80555555555554,0.61,3060.020000000004,4.184705782064824,278.1173861111096
2023-05-01,263.8318181818182,0.23,3060.250000000004,3.935832194051536,256.12792909090774
2023-06-01,248.7952380952381,-0.08,3060.170000000004,3.161501468457617,241.72945333333183
2023-07-01,248.7952380952381,0.12,3060.290000000004,3.992443888662711,241.4308990476178
2023-08-01,220.3608695652174,0.23,3060.520000000004,4.608216087521688,213.33135782608582
2023-09-01,212.51500000000001,0.26,3060.7800000000043,5.185234629775626,205.18323249999847
2023-10-01,237.83571428571426,0.24,3061.020000000004,4.819245643589931,229.0595764285702
2023-11-01,234.86749999999998,0.28,3061.3000000000043,4.683537029570672,225.54326024999833
2023-12-01,248.6315789473684,0.56,3061.860000000004,4.621113930566789,237.36856842105098
2024-01-01,249.65,0.42,3062.2800000000043,4.5066374306924395,237.2923249999982
2024-02-01,249.65,0.83,3063.110000000004,4.496273821268559,235.22022999999837
2024-03-01,232.80750000000003,0.16,3063.270000000004,3.925596126881703,218.97873449999884
2024-04-01,230.5068181818182,0.38,3063.650000000004,3.6880164915653157,215.93878727272588
2024-05-01,230.5068181818182,0.46,3064.110000000004,3.92595167856582,214.87845590908944
2024-06-01,220.70249999999996,0.21,3064.3200000000043,4.227578239682583,205.27539524999844
2024-07-01,229.2739130434783,0.38,3064.7000000000044,4.498245142821999,212.37642565217212
2024-08-01,235.07272727272724,-0.02,3064.6800000000044,4.2375990160564925,217.79488181817985
2024-09-01,255.452380952381,0.44,3065.1200000000044,4.4247401273958875,235.5526404761883
